,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",How often do you go to Clifton beach?,What are your top motivations for going to Clifton Beach? You can select up to 3,Which one of the following statements apply to you?,How do you feel regarding the caretaking and evolution of Clifton beach?
991,520dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Nazimabad,,Most accessible (public beach closest to urban Karachi),,
992,520dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Nazimabad,,"Relief (from climate, from stresses, etc)",,
993,521,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
994,521dup,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
995,521dup,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
996,522,25 - 44 years,Male,"50,001 - 75,000 rupees",Nazimabad,Frequently (multiple times a month),"Relief (from climate, from stresses, etc)",,Positively - There are several welcome developmental changes
997,523,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
998,523dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
999,523dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
1000,524,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Frequently (multiple times a month),"Activity (exercising, sports, running, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
1001,524dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
1002,524dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,,"Commerce (for work, for shopping, for restaurants, etc)",,
1003,525,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1004,525dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
1005,525dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
1006,526,25 - 44 years,Male,"125,001 - 150,000 rupees",Clifton Cantonment,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
1007,526dup,25 - 44 years,Male,"125,001 - 150,000 rupees",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
1008,527,15 - 24 years,Prefer not to answer,Prefer not to answer,,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1009,527dup,15 - 24 years,Prefer not to answer,Prefer not to answer,,,Most accessible (public beach closest to urban Karachi),,
1010,528,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1011,529,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Not often - I prefer other beaches,Most accessible (public beach closest to urban Karachi),I feel safe visiting the beach by myself at any time during the day,Positively - There are several welcome developmental changes
1012,530,25 - 44 years,Male,"200,001 and above",Outside Karachi,Not often (few times in many years),Most accessible (public beach closest to urban Karachi),I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
1013,530dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,,"Commerce (for work, for shopping, for restaurants, etc)",,
1014,531,45 years and above,Male,Prefer not to answer,Gadap,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Positively - There are several welcome developmental changes
1015,532,15 - 24 years,Female,"150,001 - 175,000 rupees",Korangi Creek Cantonment,Not often - I prefer other beaches,"Commerce (for work, for shopping, for restaurants, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1016,533,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,"Activity (exercising, sports, running, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1017,534,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1018,534dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
1019,535,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
1020,535dup,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
1021,535dup,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
1022,536,15 - 24 years,Female,"200,001 and above",Civil Lines,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
1023,536dup,15 - 24 years,Female,"200,001 and above",Civil Lines,,Most accessible (public beach closest to urban Karachi),,
1024,536dup,15 - 24 years,Female,"200,001 and above",Civil Lines,,"Commerce (for work, for shopping, for restaurants, etc)",,
1025,537,25 - 44 years,Male,Prefer not to answer,Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
1026,537dup,25 - 44 years,Male,Prefer not to answer,Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
1027,537dup,25 - 44 years,Male,Prefer not to answer,Gulshan-e-Iqbal,,"Celebrating (personal milestones, special occasions, etc)",,
1028,538,25 - 44 years,Non-binary,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
1029,539,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
1030,539dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
1031,539dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
1032,540,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
1033,540dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,"Activity (exercising, sports, running, etc)",,
1034,541,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
1035,541dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
1036,541dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,Tourism,,
1037,542,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,Not often - I prefer other beaches,"Activity (exercising, sports, running, etc)",I feel safe visiting the beach by myself but only before sunset,Positively - There are several welcome developmental changes
1038,543,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,"Activity (exercising, sports, running, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
1039,543dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
1040,543dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
1041,544,15 - 24 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Positively - There are several welcome developmental changes
1042,544dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
1043,544dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
1044,545,45 years and above,Male,"200,001 and above",Clifton Cantonment,Not often (few times in many years),"Activity (exercising, sports, running, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
1045,545dup,45 years and above,Male,"200,001 and above",Clifton Cantonment,,"Commerce (for work, for shopping, for restaurants, etc)",,
1046,546,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1047,546dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,"Activity (exercising, sports, running, etc)",,
1048,546dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,"Commerce (for work, for shopping, for restaurants, etc)",,
1049,547,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
1050,547dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
1051,547dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,"Commerce (for work, for shopping, for restaurants, etc)",,
1052,548,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,Most accessible (public beach closest to urban Karachi),I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1053,548dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
1054,549,15 - 24 years,Prefer not to answer,"75,001 - 100,000 rupees",Aram Bagh,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Negatively - I feel a sense of frustration and/or loss
1055,549dup,15 - 24 years,Prefer not to answer,"75,001 - 100,000 rupees",Aram Bagh,,Most accessible (public beach closest to urban Karachi),,
1056,550,15 - 24 years,Female,"200,001 and above",Outside Karachi,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1057,551,15 - 24 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,Not often (few times in many years),Most accessible (public beach closest to urban Karachi),I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
1058,551dup,15 - 24 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,,"Commerce (for work, for shopping, for restaurants, etc)",,
1059,552,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
1060,552dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
1061,553,15 - 24 years,Male,"150,001 - 175,000 rupees",Garden,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1062,553dup,15 - 24 years,Male,"150,001 - 175,000 rupees",Garden,,Most accessible (public beach closest to urban Karachi),,
1063,554,15 - 24 years,Transgender,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1064,554dup,15 - 24 years,Transgender,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
1065,554dup,15 - 24 years,Transgender,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
1066,555,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1067,555dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
1068,555dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
1069,556,25 - 44 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Often (multiple times in a year),"Relief (from climate, from stresses, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
1070,557,25 - 44 years,Female,"175,000 - 200,000 rupees",Outside Karachi,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1071,557dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Outside Karachi,,Most accessible (public beach closest to urban Karachi),,
1072,558,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,"Activity (exercising, sports, running, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
1073,558dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,,"Commerce (for work, for shopping, for restaurants, etc)",,
1074,559,15 - 24 years,Female,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1075,559dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
1076,559dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
1077,560,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
1078,561,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
1079,561dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
1080,561dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
1081,562,25 - 44 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Negatively - I feel a sense of frustration and/or loss
1082,562dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
1083,562dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
1084,563,25 - 44 years,Male,"50,001 - 75,000 rupees",Shah Faisal,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
1085,563dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Shah Faisal,,Most accessible (public beach closest to urban Karachi),,
1086,563dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Shah Faisal,,"Relief (from climate, from stresses, etc)",,
1087,564,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Positively - There are several welcome developmental changes
1088,564dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
1089,564dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
1090,565,15 - 24 years,Female,"175,000 - 200,000 rupees",Ferozabad,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1091,565dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Ferozabad,,"Commerce (for work, for shopping, for restaurants, etc)",,
1092,566,15 - 24 years,Male,"125,001 - 150,000 rupees",Garden,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Positively - There are several welcome developmental changes
1093,566dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Garden,,Most accessible (public beach closest to urban Karachi),,
1094,566dup,15 - 24 years,Male,"125,001 - 150,000 rupees",Garden,,"Relief (from climate, from stresses, etc)",,
1095,567,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
1096,568,25 - 44 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
1097,568dup,25 - 44 years,Female,"100,001 - 125,000 rupees",Gulshan-e-Iqbal,,Most accessible (public beach closest to urban Karachi),,
1098,569,15 - 24 years,Male,"175,000 - 200,000 rupees",Airport,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1099,569dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Airport,,Most accessible (public beach closest to urban Karachi),,
1100,569dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Airport,,"Relief (from climate, from stresses, etc)",,
1101,570,25 - 44 years,Female,"125,001 - 150,000 rupees",Ferozabad,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1102,570dup,25 - 44 years,Female,"125,001 - 150,000 rupees",Ferozabad,,Most accessible (public beach closest to urban Karachi),,
1103,570dup,25 - 44 years,Female,"125,001 - 150,000 rupees",Ferozabad,,"Relief (from climate, from stresses, etc)",,
1104,571,15 - 24 years,Female,Prefer not to answer,Outside Karachi,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1105,571dup,15 - 24 years,Female,Prefer not to answer,Outside Karachi,,"Relief (from climate, from stresses, etc)",,
1106,572,25 - 44 years,Non-binary,"100,001 - 125,000 rupees",Clifton Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1107,572dup,25 - 44 years,Non-binary,"100,001 - 125,000 rupees",Clifton Cantonment,,"Activity (exercising, sports, running, etc)",,
1108,572dup,25 - 44 years,Non-binary,"100,001 - 125,000 rupees",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
1109,573,15 - 24 years,Transgender,"200,001 and above",Ferozabad,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1110,573dup,15 - 24 years,Transgender,"200,001 and above",Ferozabad,,Most accessible (public beach closest to urban Karachi),,
1111,573dup,15 - 24 years,Transgender,"200,001 and above",Ferozabad,,"Commerce (for work, for shopping, for restaurants, etc)",,
1112,574,15 - 24 years,Male,"Up to 25,000 rupees",Malir Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself at any time during the day,Positively - There are several welcome developmental changes
1113,574dup,15 - 24 years,Male,"Up to 25,000 rupees",Malir Cantonment,,Most accessible (public beach closest to urban Karachi),,
1114,574dup,15 - 24 years,Male,"Up to 25,000 rupees",Malir Cantonment,,"Relief (from climate, from stresses, etc)",,
1115,575,25 - 44 years,Male,Prefer not to answer,Outside Karachi,Not often (few times in many years),"Commerce (for work, for shopping, for restaurants, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1116,576,25 - 44 years,Female,"200,001 and above",Gulberg,Not often (few times in many years),Most accessible (public beach closest to urban Karachi),I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1117,576dup,25 - 44 years,Female,"200,001 and above",Gulberg,,"Relief (from climate, from stresses, etc)",,
1118,577,25 - 44 years,Female,"75,001 - 100,000 rupees",North Nazimabad Town,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1119,578,25 - 44 years,Female,"75,001 - 100,000 rupees",,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1120,578dup,25 - 44 years,Female,"75,001 - 100,000 rupees",,,"Activity (exercising, sports, running, etc)",,
1121,578dup,25 - 44 years,Female,"75,001 - 100,000 rupees",,,"Relief (from climate, from stresses, etc)",,
1122,579,25 - 44 years,Female,"175,000 - 200,000 rupees",Gulberg,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1123,579dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Gulberg,,Most accessible (public beach closest to urban Karachi),,
1124,579dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Gulberg,,"Commerce (for work, for shopping, for restaurants, etc)",,
1125,580,25 - 44 years,Female,"50,001 - 75,000 rupees",Karachi Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1126,581,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1127,581dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,,"Celebrating (personal milestones, special occasions, etc)",,
1128,581dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,,Special events held in the vicinity,,
1129,582,25 - 44 years,Female,"75,001 - 100,000 rupees",North Nazimabad Town,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1130,583,15 - 24 years,Female,"200,001 and above",Nazimabad,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,
1131,583dup,15 - 24 years,Female,"200,001 and above",Nazimabad,,"Relief (from climate, from stresses, etc)",,
1132,584,25 - 44 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1133,585,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
1134,586,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1135,586dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
1136,587,25 - 44 years,Female,"200,001 and above",Jamshed Quarters,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
1137,587dup,25 - 44 years,Female,"200,001 and above",Jamshed Quarters,,"Activity (exercising, sports, running, etc)",,
1138,587dup,25 - 44 years,Female,"200,001 and above",Jamshed Quarters,,Most accessible (public beach closest to urban Karachi),,
1139,588,15 - 24 years,Female,"100,001 - 125,000 rupees",Jamshed Quarters,Not often (few times in many years),Most accessible (public beach closest to urban Karachi),I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1140,589,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,Often (multiple times in a year),Most accessible (public beach closest to urban Karachi),I only visit the beach with company and only before sunset,Positively - There are several welcome developmental changes
1141,589dup,15 - 24 years,Female,"200,001 and above",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
1142,590,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,
1143,590dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,"Activity (exercising, sports, running, etc)",,
1144,590dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,Most accessible (public beach closest to urban Karachi),,
1145,591,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,Not often - I prefer other beaches,"Leisure (walking, being with loved ones, etc)",I only visit the beach with company and only before sunset,Negatively - I feel a sense of frustration and/or loss
1146,592,25 - 44 years,Female,"200,001 and above",Karachi Cantonment,Not often (few times in many years),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
1147,593,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,Not often (few times in many years),Most accessible (public beach closest to urban Karachi),I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1148,593dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,,"Relief (from climate, from stresses, etc)",,
1149,594,15 - 24 years,Female,"200,001 and above",Faisal Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1150,594dup,15 - 24 years,Female,"200,001 and above",Faisal Cantonment,,"Activity (exercising, sports, running, etc)",,
1151,594dup,15 - 24 years,Female,"200,001 and above",Faisal Cantonment,,Most accessible (public beach closest to urban Karachi),,
1152,595,15 - 24 years,Female,"200,001 and above",Faisal Cantonment,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1153,595dup,15 - 24 years,Female,"200,001 and above",Faisal Cantonment,,"Activity (exercising, sports, running, etc)",,
1154,595dup,15 - 24 years,Female,"200,001 and above",Faisal Cantonment,,Most accessible (public beach closest to urban Karachi),,
1155,596,15 - 24 years,Female,"200,001 and above",,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Positively - There are several welcome developmental changes
1156,596dup,15 - 24 years,Female,"200,001 and above",,,"Activity (exercising, sports, running, etc)",,
1157,596dup,15 - 24 years,Female,"200,001 and above",,,"Relief (from climate, from stresses, etc)",,
1158,597,15 - 24 years,Male,"200,001 and above",Civil Lines,Often (multiple times in a year),"Leisure (walking, being with loved ones, etc)",I feel safe visiting the beach by myself but only before sunset,Positively - There are several welcome developmental changes
1159,597dup,15 - 24 years,Male,"200,001 and above",Civil Lines,,Most accessible (public beach closest to urban Karachi),,
1160,597dup,15 - 24 years,Male,"200,001 and above",Civil Lines,,"Celebrating (personal milestones, special occasions, etc)",,
1161,598,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Frequently (multiple times a month),"Leisure (walking, being with loved ones, etc)",I only visit the beach with company at any time during the day,Negatively - I feel a sense of frustration and/or loss
1162,598dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,,"Relief (from climate, from stresses, etc)",,
