Timestamp,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",How often do you go to Clifton beach?,How do you get to Clifton Beach most of the time?,What are your top motivations for going to Clifton Beach? You can select up to 3,Where do you access the beach from most of the time?,Which of the two statements do you agree with more?,Which one of the following statements apply to you?,What are your top priorities for Clifton Beach in the next year? You can select up to 3.,How do you feel regarding the caretaking and evolution of Clifton beach?,What would make Clifton Beach your favourite beach to go to? Please use this space for any feedback not covered by the survey,Is it important for Clifton Beach and the coast of Karachi to have a comprehensive plan across various ownership boundaries to guide its growth?,"In the last 12 months, have you done any of the following in Karachi? Please select all that apply",Do you trust Karachi's various administrative bodies and caretakers with your well-being?,Have you given feedback or participated in the design process of any public project in Karachi?,What is your most favourite place in Karachi?,"If you had unlimited funds, how would you change Clifton Beach?",Do you like going to the beach? Why if you do? Why not if you do not?,Do you feel safe while at the beach?,"If yes, then at what time of the day?","If not, why?",On what days do you prefer going to the beach?,At what time are you most likely to visit the beach?,How long do you spend at the beach?,How do you rate the following facilities? [Seating],How do you rate the following facilities? [Cleanliness],How do you rate the following facilities? [Shading Devices],How do you rate the following facilities? [Public Washrooms],How do you rate the following facilities? [Recreational Amenities],How do you rate the following facilities? [Lighting],How do you rate the following facilities? [Pathways/Walking Infrastructure],How do you rate the following facilities? [First Aid],What kind of company do you prefer when at the beach?,Have you ever made any new friends at the beach?
2021/06/24 5:29:42 PM AST,15 - 24 years,Female,"125,001 - 150,000 rupees",Civil Lines,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc);Activity (exercising, sports, running, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",,,,,,,,,,,,Yes,Evening,,Weekends,2:00pm - 6:00pm,Less than an hour,Fair,Poor,Poor,Poor,Fair,Fair,Good,Fair,Family,No
2021/06/24 5:30:44 PM AST,15 - 24 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc);Activity (exercising, sports, running, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",,,,,,,,,,,,Yes,Morning,,Both,6:00am - 10:00am;2:00pm - 6:00pm,More than an hour,Fair,Fair,Fair,Poor,Poor,Poor,Fair,Poor,Friends,No
2021/06/24 5:34:18 PM AST,15 - 24 years,Female,"25,001 - 50,000 rupees",Jamshed Quarters,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc);Activity (exercising, sports, running, etc);Commerce (for work, for shopping, for restaurants, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,,,,,,,No,,Fear of harrasment;Lack of security arrangements;Lack of lighting,Weekends,2:00pm - 6:00pm,More than an hour,Poor,Fair,Poor,Poor,Poor,Fair,Fair,Fair,Family,No
2021/06/24 5:48:20 PM AST,15 - 24 years,Male,"200,001 and above",Airport,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc);Activity (exercising, sports, running, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,,,,,,,,,Yes,Evening,,Both,6:00am - 10:00am,Less than an hour,Good,Fair,Poor,Poor,Fair,Good,Good,Poor,Friends,No
2021/06/24 5:51:05 PM AST,15 - 24 years,Female,Prefer not to answer,Gulshan-e-Iqbal,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc);Activity (exercising, sports, running, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,,,,,,,,,Yes,Morning,,Weekends,6:00am - 10:00am,More than an hour,Poor,Poor,Poor,Poor,Poor,Fair,Fair,Fair,Family,No
2021/06/24 7:21:01 PM AST,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc)",McDonald's/A K Khan Park,Some people may be restricted or charged to visit some places at Clifton beach,,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc)",,,,,,,,,,No,,Fear of harrasment,Both,2:00pm - 6:00pm,Less than an hour,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Friends,No
2021/06/24 8:10:49 AM AST,15 - 24 years,Male,Prefer not to answer,Civil Lines,Frequently (multiple times a month),Private vehicle,"Leisure (walking, being with loved ones, etc)",Seawall (between Captain Farhan Ali Shaheed Park and Emaar Crescent),"Clifton beach must be freely accessible, without charge and entry limitations",,,,,,,,,,,,No,,Fear of theft;Fear of harrasment;Lack of security arrangements;Lack of lighting;Stray dogs,Both,6:00pm - 10:00pm,More than an hour,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Friends,No
2021/06/24 8:10:51 AM AST,15 - 24 years,Female,"50,001 - 75,000 rupees",Airport,Frequently (multiple times a month),Private vehicle,"Leisure (walking, being with loved ones, etc);Activity (exercising, sports, running, etc);Commerce (for work, for shopping, for restaurants, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,,,,,,,,,Yes,Evening,,Weekdays,6:00pm - 10:00pm,More than an hour,Poor,Poor,Fair,Poor,Fair,Fair,Fair,Poor,Friends,No
2021/06/24 8:11:03 AM AST,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,Frequently (multiple times a month),Private vehicle,"Leisure (walking, being with loved ones, etc)",Clifton Beach Parking Lot,"Clifton beach must be freely accessible, without charge and entry limitations",,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,,,,,,,Yes,Evening,,Both,6:00am - 10:00am;6:00pm - 10:00pm,Less than an hour,Poor,Poor,Poor,Poor,Poor,Fair,Fair,Poor,Alone,Yes
2021/06/24 8:12:29 AM AST,15 - 24 years,Male,Prefer not to answer,Ferozabad,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc);Activity (exercising, sports, running, etc)",Seawall (between Captain Farhan Ali Shaheed Park and Emaar Crescent),"Clifton beach must be freely accessible, without charge and entry limitations",,,,,,,,,,,,Yes,Morning,,Weekdays,6:00pm - 10:00pm,More than an hour,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Friends,No
2021/06/24 8:18:09 AM AST,25 - 44 years,Male,"50,001 - 75,000 rupees",Clifton Cantonment,Not often (few times in many years),Private vehicle,"Activity (exercising, sports, running, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",,,,,,,,,,,,Yes,Morning,,Weekdays,6:00am - 10:00am,Less than an hour,Good,Good,Fair,Fair,Fair,Good,Fair,Poor,Friends,No
2021/06/24 8:18:40 AM AST,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,Frequently (multiple times a month),Private vehicle,"Leisure (walking, being with loved ones, etc)",Dolmen Mall,"Clifton beach must be freely accessible, without charge and entry limitations",,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,,,,,,,,,Yes,Any time of the day,,Weekdays,6:00pm - 10:00pm,More than an hour,Poor,Fair,Fair,Poor,Fair,Poor,Fair,Poor,Friends,No
2021/06/24 8:22:05 AM AST,15 - 24 years,Male,"25,001 - 50,000 rupees",Clifton Cantonment,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",,,,,,,,,,,,Yes,Evening,,Weekdays,2:00pm - 6:00pm,Less than an hour,Poor,Fair,Fair,Poor,Poor,Poor,Poor,Poor,Friends,No
2021/06/24 8:24:08 AM AST,25 - 44 years,Male,"Up to 25,000 rupees",Clifton Cantonment,Often (multiple times in a year),Private vehicle,"Activity (exercising, sports, running, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),Some people may be restricted or charged to visit some places at Clifton beach,,,,,,,,,,,,Yes,Evening,,Both,6:00pm - 10:00pm,More than an hour,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Friends,No
2021/06/24 8:26:45 AM AST,15 - 24 years,Female,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,,,,,,,,,Yes,Evening,,Weekdays,6:00pm - 10:00pm,Less than an hour,Poor,Poor,Fair,Poor,Fair,Poor,Poor,Poor,Friends,No
2021/06/24 8:28:24 AM AST,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,Frequently (multiple times a month),Private vehicle,"Leisure (walking, being with loved ones, etc);Commerce (for work, for shopping, for restaurants, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",,,,,,,,,,,,Yes,Evening,,Both,2:00pm - 6:00pm,More than an hour,Good,Fair,Fair,Poor,Fair,Good,Poor,Poor,Friends,No
2021/06/24 8:31:29 AM AST,45 years and above,Male,"150,001 - 175,000 rupees",Nazimabad,Frequently (multiple times a month),Private vehicle,"Leisure (walking, being with loved ones, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",,"Amenities (like: washrooms, washing areas, lockers, etc);Natural areas (like: forests, gardens, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,,,,,,,Yes,Night,,Both,6:00pm - 10:00pm;10:00pm - 2:00am,More than an hour,Poor,Poor,Poor,Poor,Fair,Poor,Fair,Poor,Alone,Yes
2021/06/24 8:36:24 AM AST,15 - 24 years,Male,Prefer not to answer,Gulshan-e-Iqbal,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,,,,,,,No,,Fear of theft,Weekdays,6:00pm - 10:00pm;10:00pm - 2:00am,More than an hour,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Friends,No
2021/06/24 8:36:52 AM AST,25 - 44 years,Male,Prefer not to answer,Gulshan-e-Iqbal,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc);Commerce (for work, for shopping, for restaurants, etc);Activity (exercising, sports, running, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,,,,,,,,,Yes,Evening,,Weekends,2:00pm - 6:00pm,More than an hour,Fair,Poor,Poor,Poor,Poor,Poor,Fair,Poor,Family,No
2021/06/24 8:37:33 AM AST,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,Frequently (multiple times a month),Private vehicle,"Leisure (walking, being with loved ones, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,,,,,,,,,Yes,Morning,,Weekdays,10:00am - 2:00pm,More than an hour,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Poor,Friends,No
2021/06/24 8:40:57 AM AST,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,Not often (few times in many years),For-hire vehicle,"Leisure (walking, being with loved ones, etc);Activity (exercising, sports, running, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,,,,,,,,,No,,Fear of theft;Fear of harrasment;Lack of security arrangements;Lack of lighting;Stray dogs;Reckless speeding by vehicles,Both,10:00am - 2:00pm;2:00pm - 6:00pm;6:00pm - 10:00pm,More than an hour,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Family,No
2021/06/24 8:42:03 AM AST,15 - 24 years,Female,Prefer not to answer,Jamshed Quarters,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc);Activity (exercising, sports, running, etc)",Clifton Beach Parking Lot,Some people may be restricted or charged to visit some places at Clifton beach,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,,,,,,,No,,Fear of theft;Fear of harrasment,Weekdays,6:00pm - 10:00pm,More than an hour,Fair,Fair,Poor,Poor,Poor,Poor,Poor,Poor,Family,No
2021/06/24 8:42:30 AM AST,25 - 44 years,Male,"50,001 - 75,000 rupees",Jamshed Quarters,Often (multiple times in a year),Private vehicle,"Leisure (walking, being with loved ones, etc)",Clifton Beach Parking Lot,"Clifton beach must be freely accessible, without charge and entry limitations",,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,,,,,,,No,,Fear of harrasment,Both,6:00am - 10:00am,Less than an hour,Poor,Poor,Poor,Poor,Poor,Fair,Poor,Poor,Family,No
2021/06/24 8:44:40 AM AST,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,Frequently (multiple times a month),Private vehicle,"Leisure (walking, being with loved ones, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Natural areas (like: forests, gardens, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,,,,,,,No,,Fear of theft;Lack of security arrangements,Weekdays,10:00am - 2:00pm,More than an hour,Fair,Poor,Poor,Poor,Poor,Poor,Fair,Poor,Friends,Yes
2021/06/24 8:48:52 AM AST,15 - 24 years,Male,Prefer not to answer,Baldia,Often (multiple times in a year),Private vehicle,"Relief (from climate, from stresses, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,,,,,,,No,,Nothing,Weekends,6:00pm - 10:00pm,Less than an hour,Fair,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Friends,No
2021/06/24 8:51:17 AM AST,15 - 24 years,Male,"Up to 25,000 rupees",Baldia,Frequently (multiple times a month),Private vehicle,"Relief (from climate, from stresses, etc)",Clifton Beach Parking Lot,"Clifton beach must be freely accessible, without charge and entry limitations",,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,,,,,,,Yes,Evening,,Weekends,6:00pm - 10:00pm,Less than an hour,Poor,Poor,Poor,Poor,Poor,Fair,Good,Poor,Friends,No
2021/06/24 8:56:06 AM AST,25 - 44 years,Female,Prefer not to answer,Nazimabad,Frequently (multiple times a month),Public transit,"Leisure (walking, being with loved ones, etc);Activity (exercising, sports, running, etc)",Dolmen Mall,"Clifton beach must be freely accessible, without charge and entry limitations",,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,,,,,,,Yes,Evening,,Weekdays,2:00pm - 6:00pm,More than an hour,Fair,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Friends,No
2021/06/24 8:59:16 AM AST,15 - 24 years,Female,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc)",McDonald's/A K Khan Park,Some people may be restricted or charged to visit some places at Clifton beach,,,,,,,,,,,,No,,Fear of harrasment,Weekends,6:00am - 10:00am,Less than an hour,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Friends,No
2021/06/24 9:01:58 AM AST,25 - 44 years,Male,Prefer not to answer,Malir Cantonment,Not often (few times in many years),Public transit,"Leisure (walking, being with loved ones, etc)",,"Clifton beach must be freely accessible, without charge and entry limitations",,"Amenities (like: washrooms, washing areas, lockers, etc);Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,,,,,,,,,No,,Fear of theft;Lack of security arrangements,Weekends,2:00pm - 6:00pm,Less than an hour,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Family,No
2021/06/24 9:02:35 AM AST,15 - 24 years,Female,"125,001 - 150,000 rupees",Nazimabad,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc);Activity (exercising, sports, running, etc);Commerce (for work, for shopping, for restaurants, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),Some people may be restricted or charged to visit some places at Clifton beach,,,,,,,,,,,,Yes,Morning,,Weekends,2:00am - 6:00am,More than an hour,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Family,No
2021/06/24 9:05:02 AM AST,15 - 24 years,Female,"25,001 - 50,000 rupees",Orangi,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc)
",Clifton Beach Parking Lot,Some people may be restricted or charged to visit some places at Clifton beach,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,,,,,,,No,,Fear of harrasment;Lack of security arrangements,Weekends,6:00pm - 10:00pm,More than an hour,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Family,No
2021/06/24 9:06:27 AM AST,15 - 24 years,Male,"25,001 - 50,000 rupees",Orangi,Often (multiple times in a year),Private vehicle,"Activity (exercising, sports, running, etc)",Clifton Beach Parking Lot,"Clifton beach must be freely accessible, without charge and entry limitations",,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,,,,,,,Yes,Any time of the day,,Both,6:00pm - 10:00pm,Less than an hour,Poor,Poor,Poor,Poor,Fair,Poor,Poor,Poor,Family,No
2021/06/24 9:07:54 AM AST,45 years and above,Male,"25,001 - 50,000 rupees",Garden,Not often (few times in many years),For-hire vehicle,"Leisure (walking, being with loved ones, etc);Activity (exercising, sports, running, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,,,,,,,Yes,Evening,,Weekends,6:00pm - 10:00pm,More than an hour,Poor,Fair,Poor,Poor,Poor,Poor,Fair,Poor,Family,No
2021/06/24 9:11:19 AM AST,15 - 24 years,Male,Prefer not to answer,Saddar,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,,,,,,,Yes,Evening,,Weekends,6:00pm - 10:00pm,More than an hour,Fair,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Family,No
2021/06/24 9:14:13 AM AST,45 years and above,Transgender,"Up to 25,000 rupees",Civil Lines,Not often (few times in many years),Private vehicle,Most accessible (public beach closest to urban Karachi),Clifton Beach Parking Lot,"Clifton beach must be freely accessible, without charge and entry limitations",,"Amenities (like: washrooms, washing areas, lockers, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,,,,,,,No,,Fear of theft;Lack of lighting,Both,6:00pm - 10:00pm,More than an hour,Poor,Fair,Poor,Poor,Poor,Poor,Poor,Poor,Family,No
2021/06/24 9:16:37 AM AST,25 - 44 years,Female,Prefer not to answer,Gulshan-e-Iqbal,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",,,,,,,,,,,,No,,Hygiene,Weekends,6:00pm - 10:00pm,Less than an hour,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Family,No
2021/06/24 9:19:41 AM AST,15 - 24 years,Male,"150,001 - 175,000 rupees",Gulshan-e-Iqbal,Not often - I prefer other beaches,Private vehicle,"Leisure (walking, being with loved ones, etc)",McDonald's/A K Khan Park,Some people may be restricted or charged to visit some places at Clifton beach,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,,,,,,,,,Yes,Afternoon,,Weekdays,2:00pm - 6:00pm,More than an hour,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Family,No
2021/06/24 9:19:50 AM AST,Below 15 years,Female,Prefer not to answer,Civil Lines,Frequently (multiple times a month),Private vehicle,"Leisure (walking, being with loved ones, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,,,,,,,,,Yes,Evening,,Weekdays,6:00pm - 10:00pm,More than an hour,Good,Poor,Fair,Poor,Fair,Poor,Good,Fair,Family,No
2021/06/24 9:22:01 AM AST,15 - 24 years,Female,Prefer not to answer,Harbour,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,,,,,,,No,,Fear of harrasment;Lack of security arrangements,Both,2:00pm - 6:00pm,Less than an hour,Poor,Fair,Poor,Poor,Fair,Poor,Poor,Poor,Family,No
2021/06/24 9:27:13 AM AST,15 - 24 years,Male,"Up to 25,000 rupees",Gulshan-e-Iqbal,Frequently (multiple times a month),Private vehicle,"Leisure (walking, being with loved ones, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),Some people may be restricted or charged to visit some places at Clifton beach,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,,,,,,,Yes,Morning,,Weekdays,6:00am - 10:00am,Less than an hour,Fair,Poor,Poor,Poor,Fair,Poor,Poor,Poor,Friends,No
2021/06/24 9:31:58 AM AST,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,,,,,,,Yes,Evening,,Both,2:00pm - 6:00pm;6:00pm - 10:00pm,More than an hour,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Family,No
2021/06/24 9:38:46 AM AST,15 - 24 years,Female,Prefer not to answer,New Karachi Town,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc);Activity (exercising, sports, running, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",,"Amenities (like: washrooms, washing areas, lockers, etc);Cleanliness (like: solutions for sewage, garbage, air pollution, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,,,,,,,,,Yes,Evening,,Weekends,6:00pm - 10:00pm,More than an hour,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Family,No
2021/06/24 9:39:14 AM AST,25 - 44 years,Female,Prefer not to answer,Garden,Often (multiple times in a year),Public transit,"Leisure (walking, being with loved ones, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",,,,,,,,,,,,Yes,Any time of the day,,Weekends,2:00pm - 6:00pm,More than an hour,Poor,Fair,Poor,Poor,Fair,Poor,Good,Poor,Family,No
2021/06/24 9:40:24 AM AST,15 - 24 years,Male,"Up to 25,000 rupees",New Karachi Town,Frequently (multiple times a month),Private vehicle,"Leisure (walking, being with loved ones, etc)",Clifton Beach Parking Lot,"Clifton beach must be freely accessible, without charge and entry limitations",,,,,,,,,,,,Yes,Any time of the day,,Weekends,6:00pm - 10:00pm,More than an hour,Poor,Fair,Poor,Poor,Fair,Good,Good,Poor,Family,No
2021/06/24 9:45:53 AM AST,45 years and above,Male,Prefer not to answer,Liaquatabad,Frequently (multiple times a month),Public transit,"Leisure (walking, being with loved ones, etc)",Seaview Road (between Nishan-e-Pakistan and Captain Farhan Ali Shaheed Park),"Clifton beach must be freely accessible, without charge and entry limitations",,"Amenities (like: washrooms, washing areas, lockers, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,,,,,,,Yes,Evening,,Weekdays,2:00pm - 6:00pm,More than an hour,Fair,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Family,Yes
2021/06/24 9:49:22 AM AST,45 years and above,Male,Prefer not to answer,Gulshan-e-Iqbal,Not often (few times in many years),Private vehicle,"Leisure (walking, being with loved ones, etc)",McDonald's/A K Khan Park,"Clifton beach must be freely accessible, without charge and entry limitations",,"Amenities (like: washrooms, washing areas, lockers, etc);Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc);Seating (like: beach umbrellas for shade, picnic benches, etc)",,,,,,,,,,No,,Fear of theft,Both,6:00pm - 10:00pm,More than an hour,Poor,Poor,Poor,Poor,Poor,Poor,Fair,Poor,Family,No
