,index,What age range are you?,What is your gender?,What estimated range is your household's monthly income?,"Which area are you from? If not from Karachi please select ""Outside Karachi""",What are your top priorities for Clifton Beach in the next year? You can select up to 3.,op: What would make Clifton Beach your favourite beach to go to? Please use this space for any feedback not covered by the survey,Is it important for Clifton Beach and the coast of Karachi to have a comprehensive plan across various ownership boundaries to guide its growth?
1366,504,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",If measures are taken to increase accessibility and extend the beach access till Emaar to all public it will be a very positive development ,Important
1367,504dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1368,504dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Natural areas (like: forests, gardens, etc)",,
1369,505,25 - 44 years,Female,"200,001 and above",Civil Lines,"Amenities (like: washrooms, washing areas, lockers, etc)",,Indifferent
1370,505dup,25 - 44 years,Female,"200,001 and above",Civil Lines,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1371,505dup,25 - 44 years,Female,"200,001 and above",Civil Lines,"Natural areas (like: forests, gardens, etc)",,
1372,506,15 - 24 years,Female,"200,001 and above",Malir Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1373,506dup,15 - 24 years,Female,"200,001 and above",Malir Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1374,506dup,15 - 24 years,Female,"200,001 and above",Malir Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1375,507,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1376,507dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1377,507dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1378,508,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",International standard water sports,
1379,508dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1380,508dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1381,509,15 - 24 years,Male,"175,000 - 200,000 rupees",Nazimabad,"Amenities (like: washrooms, washing areas, lockers, etc)",Amenities,Important
1382,509dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Nazimabad,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1383,509dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Nazimabad,"Natural areas (like: forests, gardens, etc)",,
1384,510,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",More trees. More public spaces. More food stalls ,Important
1385,510dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1386,510dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1387,511,25 - 44 years,Female,"150,001 - 175,000 rupees",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",Just clean with some trees and more benches. No gigantic ads ,Important
1388,511dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1389,511dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Clifton Cantonment,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1390,512,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",A sense that someone was looking after it,Indifferent
1391,512dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Natural areas (like: forests, gardens, etc)",,
1392,512dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1393,513,25 - 44 years,Male,"50,001 - 75,000 rupees",Garden,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","Accessibility, cleanliness, larger area ",Important
1394,513dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Garden,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1395,513dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Garden,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1396,514,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Natural areas (like: forests, gardens, etc)","More of a boardwalk public space for activities (skateboarding, rollerblading, games, etc...)",Important
1397,514dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1398,514dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1399,515,25 - 44 years,Male,Prefer not to answer,Ferozabad,"Amenities (like: washrooms, washing areas, lockers, etc)","Cleaning of the beach, specially treatment of sewerage and better lighting and sitting arrangement. Kids love the horse and dirt bike ride on the beach.",Indifferent
1400,515dup,25 - 44 years,Male,Prefer not to answer,Ferozabad,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1401,515dup,25 - 44 years,Male,Prefer not to answer,Ferozabad,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1402,516,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1403,516dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1404,516dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1405,517,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",Cleanliness,Important
1406,517dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1407,517dup,25 - 44 years,Male,Prefer not to answer,Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1408,518,25 - 44 years,Female,"100,001 - 125,000 rupees",Korangi,"Amenities (like: washrooms, washing areas, lockers, etc)",I wish it was safer for women. Also less cars. I’d love it if all of Abdul Sattar Edhi Road was pedestrianised ,Important
1409,518dup,25 - 44 years,Female,"100,001 - 125,000 rupees",Korangi,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1410,518dup,25 - 44 years,Female,"100,001 - 125,000 rupees",Korangi,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1411,519,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)","Being pedestrian only, at least for part of the day",Important
1412,519dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1413,519dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1414,520,25 - 44 years,Female,"150,001 - 175,000 rupees",Nazimabad,"Amenities (like: washrooms, washing areas, lockers, etc)",Cleanliness!,Important
1415,520dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Nazimabad,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1416,520dup,25 - 44 years,Female,"150,001 - 175,000 rupees",Nazimabad,"Natural areas (like: forests, gardens, etc)",,
1417,521,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",cleanliness amenities security ,Important
1418,521dup,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1419,521dup,25 - 44 years,Female,Prefer not to answer,Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1420,522,25 - 44 years,Male,"50,001 - 75,000 rupees",Nazimabad,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1421,522dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Nazimabad,"Natural areas (like: forests, gardens, etc)",,
1422,523,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Safe and less car noises,Important
1423,523dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1424,523dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1425,524,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",Sustainable development keeping environment in mind,Important
1426,524dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1427,524dup,25 - 44 years,Male,"25,001 - 50,000 rupees",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1428,525,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Better cleanliness and security,Important
1429,525dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,"Natural areas (like: forests, gardens, etc)",,
1430,525dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1431,526,25 - 44 years,Male,"125,001 - 150,000 rupees",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1432,526dup,25 - 44 years,Male,"125,001 - 150,000 rupees",Clifton Cantonment,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1433,526dup,25 - 44 years,Male,"125,001 - 150,000 rupees",Clifton Cantonment,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1434,527,15 - 24 years,Prefer not to answer,Prefer not to answer,,"Amenities (like: washrooms, washing areas, lockers, etc)",Make it a safe place for women without being stared or made uncomfortable by random men,Important
1435,527dup,15 - 24 years,Prefer not to answer,Prefer not to answer,,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1436,527dup,15 - 24 years,Prefer not to answer,Prefer not to answer,,"Natural areas (like: forests, gardens, etc)",,
1437,528,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",A sense of safety and privacy; protection from people's 'stares'. Also a few nice restaurants and seating spaces where women can feel comfortable. Amenities for washing feet etc would be super helpful ,Important
1438,528dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1439,528dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1440,529,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1441,529dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1442,530,25 - 44 years,Male,"200,001 and above",Outside Karachi,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Cleanliness and safety are two main things. Everything else will follow.,Important
1443,530dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,"Natural areas (like: forests, gardens, etc)",,
1444,530dup,25 - 44 years,Male,"200,001 and above",Outside Karachi,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1445,531,45 years and above,Male,Prefer not to answer,Gadap,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1446,532,15 - 24 years,Female,"150,001 - 175,000 rupees",Korangi Creek Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1447,532dup,15 - 24 years,Female,"150,001 - 175,000 rupees",Korangi Creek Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1448,532dup,15 - 24 years,Female,"150,001 - 175,000 rupees",Korangi Creek Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1449,533,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1450,533dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1451,533dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1452,534,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1453,534dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1454,534dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Natural areas (like: forests, gardens, etc)",,
1455,535,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)","It already is because it’s one of the only places where you get to see public life in Karachi. But would love to see more cleanliness, maybe restricting horses, camels & atvs to a certain area, allowing more access to more people, more public art by locals & public events, keeping elitist infrastructure and gentrification away from it!",Important
1456,535dup,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1457,535dup,15 - 24 years,Male,Prefer not to answer,Clifton Cantonment,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1458,536,15 - 24 years,Female,"200,001 and above",Civil Lines,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","Just two things: we HAVE to clean this beach and make it safer. These have been covered but I want to reiterate. Cleanliness is SO important especially if the beach is to not have limited access. We should not limit the general public from the only beach they can easily enjoy with families. At the same time, people of higher socioeconomic classes have reservations but a large fear is due to safety and harassment. We need to learn to coexist in the same public space. ",Important
1459,536dup,15 - 24 years,Female,"200,001 and above",Civil Lines,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1460,536dup,15 - 24 years,Female,"200,001 and above",Civil Lines,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1461,537,25 - 44 years,Male,Prefer not to answer,Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Cleanliness and safety,Important
1462,537dup,25 - 44 years,Male,Prefer not to answer,Gulshan-e-Iqbal,"Natural areas (like: forests, gardens, etc)",,
1463,537dup,25 - 44 years,Male,Prefer not to answer,Gulshan-e-Iqbal,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1464,538,25 - 44 years,Non-binary,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",Cleanliness,Important
1465,538dup,25 - 44 years,Non-binary,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1466,538dup,25 - 44 years,Non-binary,"50,001 - 75,000 rupees",Gulshan-e-Iqbal,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1467,539,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1468,539dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1469,539dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1470,540,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)","Cleanliness, a nominal fee for entrance to the actual beach and a significant fine for littering. Beach should be patrolled ",Important
1471,540dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1472,540dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Natural areas (like: forests, gardens, etc)",,
1473,541,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",It just needs to be clean and that sludge that’s going from McDonald’s into the ocean needs to be sorted ,Important
1474,541dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1475,541dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1476,542,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1477,542dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1478,542dup,25 - 44 years,Male,"200,001 and above",Gulshan-e-Iqbal,"Natural areas (like: forests, gardens, etc)",,
1479,543,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",If the walls put up at the sea wall were removed- if there were less commercial establishments and more nature areas- if there were public washrooms and public free drinking water refill stations ,Important
1480,543dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Natural areas (like: forests, gardens, etc)",,
1481,543dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1482,544,15 - 24 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,"Natural areas (like: forests, gardens, etc)",If it's kept clean and there are walkway pier in to the sea.,Important
1483,544dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1484,544dup,15 - 24 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1485,545,45 years and above,Male,"200,001 and above",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1486,545dup,45 years and above,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1487,545dup,45 years and above,Male,"200,001 and above",Clifton Cantonment,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1488,546,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","Safety of all is important and to walk around un harassed by others, particularly men.  The beach must be kept clean, no plastic bags or rubbish on the beach and around. Severe fines need to be implemented for polluting and garbage bins need to be easily accessible and regularly emptied out. Can also implement a recycling initiative to control waste and make it a plastic free zone. ",Not Important
1489,546dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Commerce (like: restaurants, bazaars, malls, etc)",,
1490,546dup,25 - 44 years,Female,"200,001 and above",Clifton Cantonment,"Natural areas (like: forests, gardens, etc)",,
1491,547,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",Cleanliness ,Important
1492,547dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1493,547dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Natural areas (like: forests, gardens, etc)",,
1494,548,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","Honestly, safety and cleanliness",Important
1495,548dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Natural areas (like: forests, gardens, etc)",,
1496,548dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1497,549,15 - 24 years,Prefer not to answer,"75,001 - 100,000 rupees",Aram Bagh,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1498,549dup,15 - 24 years,Prefer not to answer,"75,001 - 100,000 rupees",Aram Bagh,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1499,549dup,15 - 24 years,Prefer not to answer,"75,001 - 100,000 rupees",Aram Bagh,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1500,550,15 - 24 years,Female,"200,001 and above",Outside Karachi,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1501,550dup,15 - 24 years,Female,"200,001 and above",Outside Karachi,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1502,550dup,15 - 24 years,Female,"200,001 and above",Outside Karachi,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1503,551,15 - 24 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",cleanliness and the eradication of bad smells,Indifferent
1504,551dup,15 - 24 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1505,551dup,15 - 24 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1506,552,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",If the beach was clean and the water was clean. ,Important
1507,552dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1508,553,15 - 24 years,Male,"150,001 - 175,000 rupees",Garden,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1509,553dup,15 - 24 years,Male,"150,001 - 175,000 rupees",Garden,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1510,553dup,15 - 24 years,Male,"150,001 - 175,000 rupees",Garden,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1511,554,15 - 24 years,Transgender,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Clean water but we all know that's never gonna happen,Indifferent
1512,554dup,15 - 24 years,Transgender,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1513,554dup,15 - 24 years,Transgender,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1514,555,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",Places to sit ,Important
1515,555dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,"Commerce (like: restaurants, bazaars, malls, etc)",,
1516,555dup,25 - 44 years,Female,"75,001 - 100,000 rupees",Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1517,556,25 - 44 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1518,556dup,25 - 44 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1519,556dup,25 - 44 years,Male,"125,001 - 150,000 rupees",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1520,557,25 - 44 years,Female,"175,000 - 200,000 rupees",Outside Karachi,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Cleaner water. Safer for women.,Important
1521,557dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Outside Karachi,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1522,557dup,25 - 44 years,Female,"175,000 - 200,000 rupees",Outside Karachi,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1523,558,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1524,558dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1525,558dup,15 - 24 years,Female,"200,001 and above",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1526,559,15 - 24 years,Female,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)",,Important
1527,559dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1528,559dup,15 - 24 years,Female,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1529,560,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1530,560dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1531,560dup,25 - 44 years,Female,"50,001 - 75,000 rupees",Clifton Cantonment,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1532,561,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",Get rid of Dolmen Mall and similar over built eyesores,Important
1533,561dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Natural areas (like: forests, gardens, etc)",,
1534,561dup,25 - 44 years,Female,"200,001 and above",Gulshan-e-Iqbal,"Safety (like: lights, boardwalks for walkability, safe swimming areas, lifeguards, etc)",,
1535,562,25 - 44 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,"Amenities (like: washrooms, washing areas, lockers, etc)","Cleanliness. 
Availability of water sports. Installation of additional street lights, and CCTV cameras. Heavy fine on littering throughout the day.",Important
1536,562dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,
1537,562dup,25 - 44 years,Male,"175,000 - 200,000 rupees",Gulshan-e-Iqbal,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
1538,563,25 - 44 years,Male,"50,001 - 75,000 rupees",Shah Faisal,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)",,Important
1539,563dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Shah Faisal,"Improved mobility (like: transit stops, neighbourhood shuttles, protected bike lanes, etc)",,
1540,563dup,25 - 44 years,Male,"50,001 - 75,000 rupees",Shah Faisal,"Seating (like: beach umbrellas for shade, picnic benches, etc)",,
1541,564,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Cleanliness (like: solutions for sewage, garbage, air pollution, etc)","Cleaner, more amenities and inclusive",Indifferent
1542,564dup,25 - 44 years,Male,"200,001 and above",Clifton Cantonment,"Recreation (like: sandy playgrounds, sports courts, arts expression areas, etc)",,
